p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.84143103568971e-202,1.99774575318009,0.714,0.158,1.77208802248329e-197,6,Dgat1
5.60169153596076e-197,2.35223939305481,0.839,0.241,1.12274703455261e-192,6,Neurl3
2.96309109001825e-185,1.57512212555293,0.821,0.187,5.93892347172358e-181,6,Txk
1.13235290770535e-176,2.02078046945983,0.67,0.131,2.26957493291383e-172,6,Fcer1g
5.97872203178223e-173,1.51938294449819,0.68,0.144,1.19831525683011e-168,6,Runx3
3.47274636427048e-172,1.52815713756427,0.898,0.284,6.96042553790732e-168,6,Il2rg
4.25728483176017e-172,1.8442577938396,0.977,0.4,8.53287598829691e-168,6,Cd52
7.90675782966233e-172,1.60985689506508,0.811,0.22,1.58475147179922e-167,6,Selplg
6.76179919905539e-163,2.65798659080679,0.701,0.188,1.35526741346667e-158,6,Cd3g
4.02328847162655e-162,1.75336718714705,0.969,0.426,8.06387708368109e-158,6,Fxyd5
1.98439465734147e-161,1.9218210705145,0.985,0.564,3.97732221170951e-157,6,Vps37b
5.40528529972282e-158,1.90967709630901,0.831,0.293,1.08338133262345e-153,6,D16Ertd472e
4.74809990308863e-156,2.09730023714496,0.941,0.555,9.51661663576055e-152,6,Ifngr1
3.32711697570322e-151,1.56170426497248,0.957,0.386,6.66854055440196e-147,6,Laptm5
2.16444535418883e-146,1.77913178292252,0.749,0.199,4.33819782340067e-142,6,S100a4
3.29749529537823e-142,1.91321458958463,0.601,0.146,6.60916982052659e-138,6,Serpinb9
4.565648942175e-141,1.5260200077186,0.279,0.022,9.15093017480135e-137,6,Trdc
5.03809232843345e-138,1.77535283464471,0.89,0.414,1.00978484538792e-133,6,Dennd4a
3.22583425984785e-135,1.56544418070173,0.811,0.243,6.46553960701304e-131,6,Trbc2
2.65290507287333e-127,1.83342865497729,0.632,0.157,5.31721763756001e-123,6,Tyrobp
4.34581125039349e-123,1.71065281862272,0.829,0.342,8.71030948916367e-119,6,Rgs2
2.05705238397954e-117,2.62066822013373,0.593,0.164,4.1229500932102e-113,6,Ccl5
2.5059164785902e-117,1.70106656906328,0.818,0.405,5.02260839803834e-113,6,Crem
4.69505349461662e-117,1.52295892244639,0.78,0.356,9.41029571926009e-113,6,Vgll4
4.59175144496039e-104,1.53849678453776,0.591,0.155,9.20324742113412e-100,6,Trbc1
1.78102773705853e-103,1.71770129014406,0.629,0.213,3.56971389338641e-99,6,Cd3e
1.41145703164082e-92,1.99241948709998,0.509,0.136,2.8289833285177e-88,6,Icos
4.38605856695662e-85,1.52240282033817,0.775,0.428,8.79097718575116e-81,6,AW112010
1.00444602420438e-74,1.7011696744257,0.527,0.177,2.01321116631284e-70,6,Bcl2a1b
5.72334014030612e-63,1.90715589305526,0.668,0.374,1.14712906432156e-58,6,Emb
1.01074593325887e-60,1.59856510761294,0.744,0.481,2.02583807403076e-56,6,Rora
9.4417439951482e-60,1.8827156830359,0.468,0.176,1.89240874894755e-55,6,Il7r
3.32854331460669e-43,1.75896358513558,0.432,0.179,6.6713993654662e-39,6,Ramp3
1.24595528550466e-15,1.62303274894978,0.481,0.395,2.49726817873698e-11,6,Lmo4
0,3.66143442340616,0.827,0.03,0,7,Tnfrsf4
0,3.52005291096573,0.761,0.05,0,7,Ctla4
4.30397490275428e-222,2.03058299901054,0.553,0.037,8.6264568975904e-218,7,Trat1
8.05242065743001e-222,2.85026120955967,0.924,0.134,1.6139466723687e-217,7,Icos
9.67916910994782e-214,2.55841827510423,0.904,0.135,1.93999586470684e-209,7,Cd28
6.35848174072395e-198,2.32873673665735,0.482,0.031,1.2744304952933e-193,7,Tnfsf8
1.92382586285757e-180,2.51494404496546,0.949,0.194,3.85592417692542e-176,7,Cd2
6.18969526362847e-179,1.7942305368332,0.64,0.069,1.24060062168905e-174,7,Cd5
4.20809140687512e-174,2.1615423809031,0.919,0.16,8.4342776067998e-170,7,Trac
1.01297661448204e-160,1.42628589759302,0.396,0.025,2.03030902840636e-156,7,Izumo1r
1.3859039802283e-150,1.82273439715835,0.954,0.197,2.77776734757158e-146,7,Cd3g
7.55459174212146e-147,1.51120955768963,0.558,0.064,1.5141668228734e-142,7,Cd6
1.27244549176703e-145,1.80033275262631,0.954,0.194,2.55036249914866e-141,7,Cd3d
1.12420127437978e-142,1.54835023468732,0.492,0.05,2.2532366142394e-138,7,Sh2d1a
1.32018780703808e-129,1.66451771004213,0.802,0.161,2.64605242164643e-125,7,Lat
1.59907373098795e-127,1.92437814004696,0.939,0.25,3.20502347901916e-123,7,Fyb
9.05854965470489e-125,2.26356155217957,0.944,0.259,1.8156051072925e-120,7,Trbc2
8.96408739579027e-108,1.9117270710584,0.701,0.154,1.79667203673824e-103,7,Tnfrsf18
1.3593202844132e-107,1.49518460825539,0.751,0.161,2.72448564604938e-103,7,Lck
6.8223490252572e-104,1.50748038242111,0.868,0.219,1.3674034151323e-99,7,Cd3e
2.22934739846416e-97,2.07717527166192,0.863,0.269,4.46828099074171e-93,7,Ifi27l2a
5.61745383254516e-97,1.70422301335751,0.822,0.204,1.12590627165703e-92,7,Ms4a4b
2.06679935140418e-95,1.4985853955188,0.594,0.109,4.1424859400194e-91,7,Bcl11b
2.79171037625742e-95,1.47106270097773,0.766,0.18,5.59542510713275e-91,7,Bcl2a1b
